timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/18 07:39:24.058, 74249, 97887, 70
2026/06/18 07:39:25.058, 74249, 97887, 100
2026/06/18 07:39:26.059, 74249, 97887, 100
2026/06/18 07:39:27.059, 74249, 97887, 84
2026/06/18 07:39:28.060, 74249, 97887, 86
2026/06/18 07:39:29.060, 74249, 97887, 100
2026/06/18 07:39:30.061, 74249, 97887, 100
2026/06/18 07:39:31.061, 74249, 97887, 70
2026/06/18 07:39:32.062, 74249, 97887, 100
2026/06/18 07:39:33.062, 74249, 97887, 100
2026/06/18 07:39:34.063, 74249, 97887, 70
2026/06/18 07:39:35.063, 74249, 97887, 100
2026/06/18 07:39:36.064, 74249, 97887, 86
2026/06/18 07:39:37.064, 74249, 97887, 84
2026/06/18 07:39:38.065, 74249, 97887, 100
2026/06/18 07:39:39.065, 74249, 97887, 93
2026/06/18 07:39:40.066, 74249, 97887, 79
2026/06/18 07:39:41.066, 74249, 97887, 100
2026/06/18 07:39:42.067, 74249, 97887, 81
2026/06/18 07:39:43.067, 74249, 97887, 89
2026/06/18 07:39:44.068, 74249, 97887, 100
2026/06/18 07:39:45.068, 74249, 97887, 72
2026/06/18 07:39:46.069, 74249, 97887, 99
2026/06/18 07:39:47.069, 74249, 97887, 100
2026/06/18 07:39:48.070, 74249, 97887, 100
2026/06/18 07:39:49.070, 74249, 97887, 75
2026/06/18 07:39:50.071, 74249, 97887, 100
2026/06/18 07:39:51.071, 74249, 97887, 100
2026/06/18 07:39:52.072, 74249, 97887, 70
2026/06/18 07:39:53.072, 74249, 97887, 100
2026/06/18 07:39:54.073, 74249, 97887, 100
2026/06/18 07:39:55.073, 74249, 97887, 67
2026/06/18 07:39:56.074, 74249, 97887, 100
2026/06/18 07:39:57.074, 74249, 97887, 84
2026/06/18 07:39:58.075, 74249, 97887, 87
2026/06/18 07:39:59.075, 74249, 97887, 100
2026/06/18 07:40:00.076, 74249, 97887, 100
2026/06/18 07:40:01.076, 74249, 97887, 70
2026/06/18 07:40:02.077, 74249, 97887, 100
2026/06/18 07:40:03.078, 74249, 97887, 100
2026/06/18 07:40:04.090, 74810, 97887, 75
2026/06/18 07:40:05.091, 74249, 97887, 100
2026/06/18 07:40:06.091, 74249, 97887, 70
2026/06/18 07:40:07.092, 74249, 97887, 100
2026/06/18 07:40:08.092, 74249, 97887, 100
2026/06/18 07:40:09.093, 74249, 97887, 69
2026/06/18 07:40:10.094, 74249, 97887, 100
2026/06/18 07:40:11.094, 74249, 97887, 94
2026/06/18 07:40:12.094, 74249, 97887, 67
2026/06/18 07:40:13.095, 74249, 97887, 100
2026/06/18 07:40:14.096, 74249, 97887, 94
2026/06/18 07:40:15.096, 74249, 97887, 68
2026/06/18 07:40:16.096, 74249, 97887, 100
2026/06/18 07:40:17.097, 74249, 97887, 100
2026/06/18 07:40:18.097, 74249, 97887, 69
2026/06/18 07:40:19.098, 74249, 97887, 100
2026/06/18 07:40:20.098, 74249, 97887, 100
2026/06/18 07:40:21.098, 74249, 97887, 68
2026/06/18 07:40:22.099, 74249, 97887, 100
2026/06/18 07:40:23.099, 74249, 97887, 100
2026/06/18 07:40:24.100, 74249, 97887, 100
2026/06/18 07:40:25.100, 74249, 97887, 91
2026/06/18 07:40:26.101, 74249, 97887, 9
2026/06/18 07:40:27.101, 74249, 97887, 0
2026/06/18 07:40:28.102, 74249, 97887, 0
2026/06/18 07:40:29.102, 74249, 97887, 0
2026/06/18 07:40:30.102, 74249, 97887, 0
2026/06/18 07:40:31.103, 74249, 97887, 100
2026/06/18 07:40:32.104, 74249, 97887, 90
2026/06/18 07:40:33.105, 74249, 97887, 63
2026/06/18 07:40:34.105, 74249, 97887, 100
2026/06/18 07:40:35.105, 74249, 97887, 100
2026/06/18 07:40:36.106, 74249, 97887, 92
2026/06/18 07:40:37.106, 74249, 97887, 100
2026/06/18 07:40:38.107, 74249, 97887, 0
2026/06/18 07:40:39.107, 74249, 97887, 0
2026/06/18 07:40:40.108, 74249, 97887, 100
2026/06/18 07:40:41.108, 74249, 97887, 100
2026/06/18 07:40:42.109, 74249, 97887, 92
2026/06/18 07:40:43.109, 74249, 97887, 100
2026/06/18 07:40:44.110, 74249, 97887, 100
2026/06/18 07:40:45.110, 74249, 97887, 91
2026/06/18 07:40:46.110, 74249, 97887, 100
2026/06/18 07:40:47.111, 74249, 97887, 100
2026/06/18 07:40:48.111, 74249, 97887, 100
2026/06/18 07:40:49.112, 74249, 97887, 100
2026/06/18 07:40:50.112, 74249, 97887, 100
2026/06/18 07:40:51.113, 74249, 97887, 100
2026/06/18 07:40:52.113, 74249, 97887, 100
2026/06/18 07:40:53.113, 74249, 97887, 100
2026/06/18 07:40:54.114, 74249, 97887, 100
2026/06/18 07:40:55.114, 74249, 97887, 97
2026/06/18 07:40:56.115, 74249, 97887, 100
